Model,RMSE_CV,RMSE_CV_STD,RMSE_MIN,RMSE_MAX
LightGBM,82.96259236226156,79.15723273916906,7.803172967730504,315.3384199841829
ARIMA,88.81200199141793,67.57939503854203,13.321690752618174,296.8965737895876
Elastic Net,89.30210987451134,66.73229035915561,21.89580919595689,309.7328161779144
XGBoost,94.00008757766295,70.29974756951097,18.984468899304144,310.16116001863946
